2018 Advanced Course Completion Report (District)  - White,,,,,,,,,,
District Name,District Code,#_11_12_student_white,# _advanced_students_white,%_complete_advanced_white,%_ELA_white,%_math_white,%_science_tech_white,%_history_socialscience_white,%_arts_white,%_other_subjects_white
Pathfinder Regional Vocational Technical,08600000,         240,         126,  52.5,  31.3,  45.4,  16.7,  15.0,   0.0,  17.0
Paulo Freire Social Justice Charter School (District),35010000,          11,           3,  27.3,  18.2,  18.2,   9.1,   9.1,   9.1,   9.0
Peabody,02290000,         571,         274,  48.0,   0.0,  38.5,  15.1,  14.7,   0.4,   2.0
Pembroke,02310000,         487,         370,  76.0,  12.3,  71.5,  11.9,  30.0,   0.8,  15.0
Pentucket,07450000,         320,         240,  75.0,  11.3,  69.4,  28.1,  20.9,   0.9,  10.0
Phoenix Charter Academy (District),04930000,           3,,,,,,,,
Pioneer Charter School of Science (District),04940000,          25,          22,  88.0,  44.0,  80.0,  44.0,   4.0,   0.0,  28.0
Pioneer Charter School of Science II (PCSS-II) (District),35060000,          17,          16,  94.1,  41.2,  70.6,  58.8,  29.4,   0.0,  18.0
Pioneer Valley,07500000,         118,         105,  89.0,  25.4,  84.7,  23.7,  28.0,   0.0,   9.0
Pioneer Valley Chinese Immersion Charter (District),04970000,          16,          16, 100.0, 100.0, 100.0, 100.0, 100.0,   0.0, 100.0
Pioneer Valley Performing Arts Charter Public (District),04790000,          84,          43,  51.2,   1.2,  45.2,   2.4,   4.8,   1.2,   0.0
Pittsfield,02360000,         513,         304,  59.3,  26.3,  47.6,  16.4,  21.1,   4.3,  11.0
Plymouth,02390000,"       1,007",         736,  73.1,  15.8,  66.6,  25.0,  27.7,   4.1,   6.0
Prospect Hill Academy Charter (District),04870000,          20,          20, 100.0,  45.0,  80.0,  65.0,  30.0,   0.0,  65.0
Quabbin,07530000,         292,         283,  96.9,  96.6,  56.8,  13.4,  24.3,   4.1,  16.0
Quaboag Regional,07780000,         155,          88,  56.8,  40.6,  39.4,  24.5,  34.2,   5.8,   0.0
Quincy,02430000,         673,         295,  43.8,  12.0,  37.6,   3.3,  16.5,   0.9,   4.0
Ralph C Mahar,07550000,         244,         111,  45.5,   4.1,  35.7,  29.1,   4.1,   1.2,   0.0
Randolph,02440000,          28,          12,  42.9,  28.6,  35.7,  21.4,   3.6,   0.0,   4.0
Reading,02460000,         541,         338,  62.5,   1.7,  59.9,  17.9,  12.0,   3.5,  12.0
Revere,02480000,         293,         238,  81.2,   8.9,  80.9,  12.3,  17.1,   0.0,   5.0
Rising Tide Charter Public (District),04830000,         123,          94,  76.4,   0.0,  72.4,  41.5,   0.0,   0.0,   0.0
Rockland,02510000,         216,         216, 100.0,  98.1,  93.5,  81.9,  58.8,  43.5,  81.0
Rockport,02520000,         137,          97,  70.8,  13.1,  66.4,  21.9,  26.3,   0.0,   4.0
Sabis International Charter (District),04410000,          53,          44,  83.0,  34.0,  83.0,  13.2,  37.7,   0.0,   4.0
Salem,02580000,         202,         115,  56.9,  18.3,  39.6,  22.3,  35.6,   4.0,   0.0
Salem Academy Charter (District),04850000,          46,          37,  80.4,  30.4,  43.5,  47.8,  52.2,   0.0,   4.0
Sandwich,02610000,         331,         219,  66.2,  12.1,  58.9,  10.9,  38.1,   0.0,   5.0
Saugus,02620000,         248,         248, 100.0,  81.0,  92.3,  56.9,  61.3,  52.0,  98.0
Scituate,02640000,         417,         377,  90.4,  50.1,  84.4,  56.4,  30.2,   6.5,  12.0
Seekonk,02650000,         262,         164,  62.6,  14.5,  45.0,  34.0,  27.5,   0.0,   0.0
Sharon,02660000,         344,         251,  73.0,   4.7,  68.9,  16.9,  41.9,   0.6,  12.0
Shawsheen Valley Regional Vocational Technical,08710000,         599,         421,  70.3,  49.1,  69.3,  23.4,  28.5,   0.0,  50.0
