2017-18  Educator Evaluation Performance (District) - All Educators,,,,,,,,
District Name,District Code,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory
Wellfleet,3180000,25,25,100,92,8,0,0
West Boylston,3220000,98,63,64.3,12.7,81,6.3,0
West Bridgewater,3230000,108,108,100,23.1,75.9,0.9,0
West Springfield,3320000,406,405,99.8,16.5,81,2.5,0
Westborough,3210000,396,383,96.7,16.2,82,1.8,0
Westfield,3250000,522,503,96.4,8.5,89.7,1.8,0
Westford,3260000,475,464,97.7,24.8,72,3.2,0
Westhampton,3270000,24,20,83.3,,,,
Weston,3300000,253,250,98.8,22,77.2,0.8,0
Westport,3310000,143,142,99.3,11.3,88,0.7,0
Westwood,3350000,334,317,94.9,7.6,91.8,0.6,0
Weymouth,3360000,553,494,89.3,13.4,85.4,1,0.2
Whately,3370000,28,28,100,25,75,0,0
Whitman-Hanson,7800000,306,305,99.7,4.9,93.8,1,0.3
Whittier Regional Vocational Technical,8850000,132,132,100,3.8,93.2,3,0
Williamsburg,3400000,28,24,85.7,16.7,79.2,4.2,0
Williamstown,3410000,46,39,84.8,5.1,94.9,0,0
Wilmington,3420000,337,307,91.1,11.4,85.7,2.3,0.7
Winchendon,3430000,110,110,100,2.7,90.9,5.5,0.9
Winchester,3440000,449,422,94,15.6,82.9,1.4,0
Winthrop,3460000,177,177,100,11.3,85.3,3.4,0
Woburn,3470000,449,437,97.3,11.9,87.2,0.7,0.2
Worcester,3480000,"2,043","2,043",100,19.1,77.8,2.9,0.1
Worthington,3490000,14,13,92.9,15.4,76.9,7.7,0
Wrentham,3500000,96,96,100,64.6,35.4,0,0
State Totals,0,"87,856","83,501",95,13.9,82.4,3.4,0.3
